platform,etl_tstamp,collector_tstamp,dvce_created_tstamp,event,event_id,user_ipaddress,geo_country,geo_region,geo_city,geo_zipcode,geo_latitude,geo_longitude,page_url,page_title,refr_urlscheme,refr_urlhost,refr_medium,refr_source,refr_term,mkt_medium,mkt_source,mkt_term,pp_xoffset_min,pp_xoffset_max,pp_yoffset_min,pp_yoffset_max,useragent,br_name,br_family,br_version,br_type,os_name,os_family,os_manufacturer,os_timezone,dvce_type,dvce_ismobile,dvce_screenwidth,dvce_screenheight,event_vendor,event_name,event_format,event_version
web,2026-02-18 05:02:26.625000 UTC,2026-02-18 05:02:26.092000 UTC,2026-02-18 05:02:25.924000 UTC,page_view,00000ca8-bf83-40fe-9210-cc37b95f21a6,95.90.253.x,DE,HH,Hamburg,22085,53.5755,10.0174,https://www.shz.de/lokales/rendsburg/artikel/rader-hochbruecke-a7-bis-20-uhr-gesperrt-stau-im-raum-rendsburg-49910364,Rendsburg: Rader Hochbrücke A7 nach Sperrung wieder frei,https,login.shz.de,internal,,,,,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,384,854,com.snowplowanalytics.snowplow,page_view,jsonschema,1-0-0
web,2026-02-18 06:27:03.225000 UTC,2026-02-18 06:27:02.922000 UTC,2026-02-18 06:27:02.832000 UTC,page_ping,00002165-f304-4d3a-aad5-5f2c2f6639b6,80.133.104.x,DE,NW,Wiehl,51674,50.9481,7.556,https://www.shz.de/deutschland-welt/schleswig-holstein/artikel/schnee-statt-fruehling-diese-7-vorteile-bringt-der-lange-winter-49902558,Schnee statt Frühling: Diese 7 Vorteile bringt der lange Winter,android-app,com.google.android.googlequicksearchbox,search,Google,,,,,,,2898,3204,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,360,800,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 06:34:33.909000 UTC,2026-02-18 06:34:33.724000 UTC,2026-02-18 06:34:33.977000 UTC,page_ping,00002274-5e83-4a0e-9886-d1d05fc8d0d2,147.161.139.x,DE,HE,Frankfurt am Main,60313,50.1187,8.6842,https://www.noz.de/lokales/lathen/artikel/helmut-und-hedwig-roewekamp-aus-sustrum-feiern-diamantene-hochzeit-49863376,Helmut und Hedwig Röwekamp aus Sustrum feiern Diamantene Hochzeit,https,www.noz.de,internal,,,,,,,,2380,2437,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,590,736,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 11:41:24.355000 UTC,2026-02-18 11:41:24.160000 UTC,2026-02-07 08:30:21.946000 UTC,page_ping,00002a68-2e2b-436a-83d8-f9dccc531099,31.18.250.x,DE,NI,Wolfenbüttel,38302,52.1626,10.55,https://www.shz.de/sport/sg-flensburg-handewitt/artikel/sg-flensburg-handewitt-johannes-golla-aeussert-sich-zu-geruechten-49866180,SG Flensburg-Handewitt: Johannes Golla äußert sich zu Gerüchten,android-app,com.google.android.googlequicksearchbox,search,Google,,,,,,,918,1108,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,384,832,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 09:18:52.995000 UTC,2026-02-18 09:18:52.869000 UTC,2026-02-18 09:18:52.346000 UTC,page_ping,00002c57-7587-40fd-bdbe-277876852b37,194.182.198.x,DE,MV,Grevesmühlen,23936,53.8677,11.2002,https://www.shz.de/lokales/kappeln/artikel/voegel-an-der-schlei-durch-langen-winter-in-not-wo-es-hilfe-gibt-49903338,Vögel an der Schlei durch langen Winter in Not – Wo es Hilfe gibt,android-app,com.google.android.googlequicksearchbox,search,Google,,,,,,,1980,3681,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,384,832,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 09:46:40.865000 UTC,2026-02-18 09:46:40.349000 UTC,2026-02-18 09:46:40.236000 UTC,page_view,000032bf-7bed-4db9-b3de-641ebde5a108,87.137.75.x,DE,HE,Bischoffen,35649,50.6997,8.4563,https://www.shz.de/lokales/sylt,Aktuelle Nachrichten von Sylt,https,www.google.com,search,Google,,,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,,,,,,,,Europe/Berlin,,,1540,963,com.snowplowanalytics.snowplow,page_view,jsonschema,1-0-0
web,2026-02-18 09:42:42.858000 UTC,2026-02-18 09:42:42.556000 UTC,2026-02-18 09:42:42.364000 UTC,page_ping,00003351-f74c-459d-98ec-cd4161b32780,37.123.126.x,DE,SH,Rendsburg,24768,54.3083,9.6657,https://www.shz.de/lokales/bredstedt/artikel/feuer-in-bredstedter-leichenhalle-so-macht-der-bestatter-weiter-49896169,Feuer in Leichenhalle: So macht der Bredstedter Bestatter weiter,https,www.shz.de,internal,,,,,,,,1000,1700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",,,,,,,,Europe/Berlin,,,1707,1067,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 11:50:13.812000 UTC,2026-02-18 11:50:13.537000 UTC,2026-02-18 11:50:13.517000 UTC,page_ping,00003d58-dc54-4215-aac3-24cdc6d605a7,79.238.167.x,DE,TH,Gotha,99867,50.9416,10.7051,https://www.noz.de/sport/olympia/artikel/olympia-2026-skeleton-paar-sorgt-mit-kuss-fuer-aufsehen-49904918?dicbo=v2-21XIdCa&itm_source=noz&itm_medium=outbrain,Olympia 2026: Skeleton-Paar sorgt mit Kuss für Aufsehen,https,traffic.outbrain.com,internal,,,,,,,,3474,4617,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,384,832,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 08:56:28.253000 UTC,2026-02-18 08:56:27.886000 UTC,2026-02-18 08:56:30.301000 UTC,page_ping,00003f06-00d7-4a17-8f3e-2a6b351578a2,77.20.255.x,DE,HH,Hamburg,22049,53.5795,10.0592,https://www.shz.de/lokales/itzehoe/artikel/leere-laeden-itzehoes-flaechenmanager-mirko-heim-ueber-innenstadt-49896396,Leere Läden: Itzehoes Flächenmanager Mirko Heim über Innenstadt,android-app,com.google.android.googlequicksearchbox,search,Google,,,,,,,4986,7079,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,,,,,,,Europe/Berlin,,,720,1152,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
web,2026-02-18 11:14:19.767000 UTC,2026-02-18 11:14:19.246000 UTC,2026-02-18 11:14:19.043000 UTC,page_ping,000041e8-f9c1-4644-b3fa-5f5d080d618e,93.223.222.x,DE,NI,Winsen,21423,53.4192,10.2631,https://www.shz.de/lokales/gluecksburg-angeln/artikel/b201-bei-tolk-ehemann-von-verunfallter-frau-rammt-feuerwehrauto-49904682,B201 bei Tolk: Ehemann von verunfallter Frau rammt Feuerwehrauto,android-app,com.google.android.googlequicksearchbox,search,Google,,,,,,,6670,8131,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,,,,,,,Europe/Berlin,,,360,780,com.snowplowanalytics.snowplow,page_ping,jsonschema,1-0-0
